Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
109,Away From Her,Lionsgate,Drama,,,4548331,,,
110,Knocked Up,Universal,Romantic Comedy,46223940,75946815,148761765,70232344,117411877,27500000
111,Jet Li's Fearless,Focus/Rogue Pictures,Drama,13083004,19461440,24633730,42000000,30497752,
112,The Guardian,Buena Vista,Action,22751717,35265924,55011732,32000000,53922172,
113,Water,Fox Searchlight,Drama,,,5529144,2590061,,
114,Accepted,Universal,Comedy,14641880,23510200,36580083,1734720,37827956,
115,Music and Lyrics,Warner Bros.,Romantic Comedy,,,50572589,94983557,21129239,40000000
116,"You, Me and Dupree",Universal,Comedy,,,75802010,54600000,41628625,54000000
117,Eragon,20th Century Fox,Adventure,30495702,48213849,75030163,174457952,87654390,100000000
118,Primeval,Buena Vista,Adventure,7716473,,10597734,1000000,4982989,
